Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
01-08-16,98.550003,99.110001,96.760002,96.959999,70798000,94.440222,97.9236550,107.2023330,116.481012,Decreasing
01-11-16,98.970001,99.059998,97.339996,98.529999,49739400,95.96942,97.22509400,106.3075000,115.3899050,Decreasing
01-12-16,100.550003,100.690002,98.839996,99.959999,49154200,97.362258,96.79500000,105.6086660,114.4223330,Decreasing
01-13-16,100.32,101.190002,97.300003,97.389999,62439600,94.859047,96.1011590,104.9575000,113.8138400,Decreasing
01-14-16,97.959999,100.480003,95.739998,99.519997,63170100,96.93369,95.54254400,104.3258330,113.1091220,Increasing
01-15-16,96.199997,97.709999,95.360001,97.129997,79010000,94.605802,94.76300500,103.6270000,112.4909940,Increasing
01-19-16,98.410004,98.650002,95.5,96.660004,53087700,94.148022,94.16719700,102.9703330,111.773469,Decreasing
01-20-16,95.099998,98.190002,93.419998,96.790001,72334400,94.274641,93.35495900,102.4210000,111.487041,Increasing
01-21-16,97.059998,97.879997,94.940002,96.300003,52161500,93.797377,92.70019100,101.9018330,111.1034750,Decreasing
01-22-16,98.629997,101.459999,98.370003,101.419998,65800500,98.784315,92.66732000,101.5660000,110.4646800,Increasing
01-25-16,101.519997,101.529999,99.209999,99.440002,51794500,96.855775,92.78428400,101.1580000,109.5317160,Decreasing
01-26-16,99.93,100.879997,98.07,99.989998,75077000,97.391477,93.0074870,100.7240000,108.4405120,Increasing
01-27-16,96.040001,96.629997,93.339996,93.419998,133369700,90.992218,92.47229300,100.102333,107.7323730,Decreasing
01-28-16,93.790001,94.519997,92.389999,94.089996,55678800,91.644804,92.24359800,99.36850000,106.4934010,Increasing
